Localización de la vivienda,Número de viviendas con valor catastral,Valor catastral,Valor catastral medio
 Andalucía,3.027.330,180.646.091.513,59.672
Almería ,272.136,16.354.522.072,60.097
Cádiz ,416.770,25.459.994.309,61.089
Córdoba ,289.553,14.798.931.117,51.110
Granada ,384.382,20.357.495.848,52.962
Huelva ,211.152,10.750.357.914,50.913
Jaén ,262.029,12.666.129.231,48.339
Málaga ,596.148,46.474.498.345,77.958
Sevilla ,595.160,33.784.162.677,56.765
 Aragón,619.327,35.174.089.732,56.794
Huesca ,118.011,5.181.261.631,43.905
Teruel ,85.489,3.171.328.775,37.096
Zaragoza ,415.827,26.821.499.326,64.502
"Asturias, Principado de",452.175,25.939.756.973,57.367
"Balears,Illes",411.383,32.236.852.682,78.362
 Canarias,603.152,34.147.647.921,56.615
Las Palmas ,310.194,17.909.142.047,57.735
S. C. Tenerife ,292.958,16.238.505.874,55.429
Cantabria,248.939,18.267.673.830,73.382
 Castilla y León,1.276.208,62.294.220.110,48.812
Ávila ,119.156,5.264.869.880,44.185
Burgos ,180.350,10.927.254.155,60.589
León ,237.674,10.111.484.794,42.544
Palencia ,82.719,3.292.759.261,39.807
Salamanca ,175.392,7.417.434.510,42.291
Segovia ,93.246,5.769.784.842,61.877
Soria ,61.664,2.937.493.107,47.637
Valladolid ,227.577,12.085.256.386,53.104
Zamora ,98.430,4.487.883.175,45.595
 Castilla - La Mancha,928.014,52.544.953.523,56.621
Albacete ,167.814,9.287.040.697,55.341
Ciudad Real ,209.948,10.545.206.808,50.228
Cuenca ,111.997,4.807.639.898,42.927
Guadalajara ,139.470,8.804.382.318,63.127
Toledo ,298.785,19.100.683.802,63.928
 Cataluña,2.685.604,205.991.152.237,76.702
Barcelona ,1.811.567,157.538.759.671,86.963
Girona ,324.348,20.165.082.091,62.171
Lleida ,170.372,8.615.878.146,50.571
Tarragona ,379.317,19.671.432.329,51.860
 Comunitat Valenciana,2.191.430,117.116.481.365,53.443
Alicante ,789.667,39.926.208.046,50.561
Castellón ,322.388,17.176.252.892,53.278
Valencia ,1.079.375,60.014.020.426,55.601
 Extremadura,453.419,18.331.300.816,40.429
Badajoz ,262.102,11.494.225.835,43.854
Cáceres ,191.317,6.837.074.980,35.737
 Galicia,1.072.192,51.433.602.157,47.971
A Coruña ,451.203,24.256.830.082,53.760
Lugo ,149.641,5.301.445.532,35.428
Ourense ,141.604,6.331.231.568,44.711
Pontevedra ,329.744,15.544.094.974,47.140
"Madrid, Comunidad de",2.292.318,255.335.952.104,111.388
"Murcia, Región de",565.378,32.423.371.607,57.348
"Rioja, La",145.880,6.975.523.681,47.817
