CCAA de residencia del declarante,Número de viviendas,Renta imputada,Ingresos arrendamientos,Gastos arrendamientos,Rendimiento neto,Rendimiento neto positivo,Rendimiento neto negativo,Rendimiento neto reducido
Andalucía,2.938.463,734.331.487,1.674.887.787,704.654.534,970.229.544,997.043.952,26.814.408,517.882.566
Aragón,636.106,121.577.668,455.164.234,217.329.949,237.820.836,247.831.667,10.010.831,106.836.220
"Asturias, Principado de",456.832,81.287.697,295.202.561,135.788.971,159.413.422,164.019.916,4.606.494,75.572.831
"Balears,Illes",433.644,125.235.720,770.541.611,284.259.096,486.279.888,495.799.981,9.520.094,239.998.837
Canarias,624.450,128.147.300,780.194.736,304.419.270,475.774.304,487.433.820,11.659.516,244.779.999
Cantabria,240.470,48.253.007,161.426.132,80.074.338,81.350.722,87.235.155,5.884.433,37.097.405
Castilla y León,1.158.667,226.069.213,633.985.369,312.403.130,321.579.412,334.297.131,12.717.719,150.747.765
Castilla - La Mancha,832.351,183.063.511,406.911.341,190.260.729,216.650.421,225.290.672,8.640.250,104.081.894
Cataluña,2.835.052,663.173.772,4.310.082.788,1.812.405.216,2.497.658.893,2.567.689.325,70.030.431,1.130.885.461
Comunitat Valenciana,2.076.475,519.889.156,1.313.631.900,596.727.181,716.901.470,743.181.611,26.280.141,354.721.763
Extremadura,417.355,77.808.026,158.495.310,74.342.835,84.152.476,87.494.163,3.341.687,43.665.952
Galicia,1.053.026,206.858.072,772.613.129,334.781.409,437.821.600,453.501.089,15.679.489,217.596.919
"Madrid, Comunidad de",2.958.893,830.181.093,4.296.071.833,1.782.386.894,2.513.673.500,2.573.736.194,60.062.694,1.076.077.188
"Murcia, Región de",559.741,139.410.413,256.700.700,123.567.590,133.127.327,138.596.685,5.469.358,63.205.990
"Rioja, La",152.608,31.435.283,83.370.721,49.302.987,34.067.735,38.268.676,4.200.940,14.814.021
