Name,Last,% Diff,Max,Min,Volum,Cash,Date,Time
ACCIONA,"206,0000","-1,06","210,4000","205,6000",69.130,"14.301,93",26/08/2022,Cierre
ACCIONA ENER,"43,5000","0,05","44,2000","43,4000",213.361,"9.340,67",26/08/2022,Cierre
ACERINOX,"9,1640","-1,48","9,4140","9,1380",642.377,"5.945,99",26/08/2022,Cierre
ACS,"22,4200","-1,19","23,0000","22,3500",493.316,"11.122,03",26/08/2022,Cierre
AENA,"124,4000","-0,80","127,0000","124,2500",73.558,"9.213,77",26/08/2022,Cierre
AMADEUS,"54,8000","-1,76","56,1800","54,7800",263.180,"14.497,26",26/08/2022,Cierre
ARCELORMIT.,"23,5300","-1,01","24,3000","23,4850",276.827,"6.633,81",26/08/2022,Cierre
B.SANTANDER,"2,4075","-1,55","2,4830","2,3960",25.583.772,"62.055,73",26/08/2022,Cierre
BA.SABADELL,"0,6446","1,00","0,6570","0,6394",23.829.984,"15.461,27",26/08/2022,Cierre
BANKINTER,"4,8270","-0,27","4,9240","4,8130",1.238.485,"6.006,38",26/08/2022,Cierre
BBVA,"4,4530","-1,51","4,5865","4,4305",10.322.165,"46.353,18",26/08/2022,Cierre
CAIXABANK,"2,8800","-0,86","2,9420","2,8610",13.254.244,"38.482,11",26/08/2022,Cierre
CELLNEX,"39,9200","-3,50","41,6100","39,7000",928.605,"37.231,32",26/08/2022,Cierre
ENAGAS,"19,3050","0,10","19,4400","19,2000",637.267,"12.305,23",26/08/2022,Cierre
ENDESA,"17,8650","-1,35","18,2000","17,8050",668.732,"11.987,45",26/08/2022,Cierre
FERROVIAL,"25,8700","-0,61","26,3300","25,7400",427.746,"11.106,76",26/08/2022,Cierre
FLUIDRA,"15,9700","-3,15","16,7900","15,9700",664.196,"10.831,54",26/08/2022,Cierre
GRIFOLS CL.A,"12,4200","-2,74","12,9500","12,3500",1.242.748,"15.522,41",26/08/2022,Cierre
IAG,"1,2500","-3,06","1,3040","1,2500",8.448.797,"10.688,98",26/08/2022,Cierre
IBERDROLA,"10,9250","-0,73","11,1500","10,8650",9.477.435,"103.755,62",26/08/2022,Cierre
INDITEX,"22,2700","-3,76","23,2500","22,1500",2.755.260,"62.094,37",26/08/2022,Cierre
INDRA A,"8,0900","-2,18","8,3500","8,0900",370.334,"3.035,60",26/08/2022,Cierre
INM.COLONIAL,"5,9500","-2,14","6,1700","5,9500",687.556,"4.146,92",26/08/2022,Cierre
MAPFRE,"1,6260","-0,85","1,6470","1,6260",1.445.419,"2.358,39",26/08/2022,Cierre
MELIA HOTELS,"6,0200","-4,06","6,2900","6,0200",480.664,"2.957,20",26/08/2022,Cierre
MERLIN,"9,3500","-1,68","9,5750","9,3100",494.146,"4.649,18",26/08/2022,Cierre
NATURGY,"29,5800","-0,50","29,8900","29,4900",272.670,"8.089,26",26/08/2022,Cierre
PHARMA MAR,"59,0200","-3,91","61,3800","58,8800",66.187,"3.971,02",26/08/2022,Cierre
R.E.C.,"19,4200","-1,07","19,6750","19,2950",561.392,"10.923,81",26/08/2022,Cierre
REPSOL,"13,4300","0,19","13,5450","13,3900",3.721.033,"50.035,03",26/08/2022,Cierre
ROVI,"49,9800","-2,67","51,6500","49,8400",73.167,"3.692,16",26/08/2022,Cierre
SACYR,"2,2240","-2,03","2,2880","2,2080",988.312,"2.220,23",26/08/2022,Cierre
SIEMENS GAME,"17,9300","-0,06","17,9650","17,9100",550.830,"9.879,47",26/08/2022,Cierre
SOLARIA,"23,3900","-3,78","24,3300","23,2600",451.965,"10.727,13",26/08/2022,Cierre
TELEFONICA,"4,1440","-0,84","4,2070","4,1110",12.219.616,"50.687,29",26/08/2022,Cierre
